    No;           Material;      Hash;   MM_gmol;   Tr_K;         pr_MPa;     Tc_K;       pc_MPa;   Dc_kgm3; acentric;    k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm; dipom_D; gamma_uni;           xi0;     Gamma;         qDinv;      Tref;                                          FullName
   70;         MILPRF23699;          ;  557.6000;   250.000;   1.00000e-18;   930.000;   1.08000;  244.7864;  0.970000;     737.53872;    1315.89034;  738.5055;   1.06443;   -1.0000;    1.2390;    3.6500e-10;    0.0870;    1.3200e-09;  1395.000;                                     MIL-PRF-23699
   71;            MLINOLEA;  b61b9eb0;  294.4721;   238.100;   7.71900e-15;   799.000;   1.34100;  238.0512;  0.805000;     432.04014;     699.45625;  634.5000;   0.87000;    1.7900;    1.2390;    1.9400e-10;    0.0496;    8.7500e-10;  1198.500;                Methyl (Z,Z)-9,12-octadecadienoate
   72;            MLINOLEN;  298c8c80;  292.4562;   218.650;   8.28000e-18;   772.000;   1.36900;  247.7981;  1.140000;     418.99510;     667.04970;  613.0400;   0.85490;    1.5400;    1.2390;    2.8400e-10;    0.0730;    1.0560e-09;  1158.000;          Methyl (Z,Z,Z)-9,12,15-octadecatrienoate
   73;                  MM;  78082e80;  162.3768;   204.930;   2.95400e-06;   518.700;   1.93113;  268.4089;  0.418000;     238.35747;     229.93482;  357.0000;   0.71900;    0.8010;    1.2390;    2.6800e-10;    0.0620;    8.4000e-10;   778.050;                              Hexamethyldisiloxane
   74;             MOLEATE;  f300b9e0;  296.4879;   253.470;   3.78100e-13;   782.000;   1.24600;  241.0002;  0.906000;     445.20457;     710.53071;  621.0000;   0.87000;    1.6300;    1.2390;    1.9400e-10;    0.0496;    8.7500e-10;  1173.000;                        Methyl cis-9-octadecenoate
   75;            MPALMITA;  27c9ec60;  270.4507;   302.710;   8.14900e-13;   755.000;   1.35000;  242.5942;  0.910000;       0.00000;       0.00000;  599.5400;   0.83880;    1.5400;    1.2390;    1.9400e-10;    0.0496;    8.7500e-10;  1132.500;                              Methyl hexadecanoate
   76;            MSTEARAT;  81403130;  298.5038;   311.840;   6.01100e-09;   775.000;   1.23900;  237.1016;  1.020000;       0.00000;       0.00000;  615.4200;   0.87350;    1.5400;    1.2390;    1.9400e-10;    0.0496;    8.7500e-10;  1162.500;                              Methyl octadecanoate
   77;             MXYLENE;  0f99ff70;  106.1650;   225.300;   3.12300e-06;   616.890;   3.53460;  282.9297;  0.326000;     125.57422;     217.71044;  489.8700;   0.58000;    0.3000;    1.2390;    2.3500e-10;    0.0570;    7.1300e-10;   925.300;                               1,3-Dimethylbenzene
   78;                 N2O;  e0647c00;   44.0128;   182.330;   8.78400e-02;   309.520;   7.24500;  452.0115;  0.162000;      38.58598;      14.36985;  232.4000;   0.38280;    0.1608;    1.2390;    1.5900e-10;    0.0570;    4.4600e-10;   464.280;                               Dinitrogen monoxide
   79;                NEON;  b912fce0;   20.1790;    24.556;   4.33550e-02;    44.400;   2.66163;  486.3139; -0.035500;      20.78615;      -0.00000;   45.5800;   0.27070;    0.0000;    1.2390;    1.3100e-10;    0.0600;    3.3100e-10;    66.740;                                              Neon
   80;            NEOPENTN;  5a410790;   72.1488;   256.600;   3.54000e-02;   433.740;   3.19600;  235.9265;  0.196100;     120.91625;     149.60604;  255.6500;   0.64640;    0.0000;    1.2390;    2.3000e-10;    0.0570;    6.6400e-10;   650.610;                               2,2-Dimethylpropane
   81;                 NF3;  6db4e3b0;   71.0190;    66.360;   1.86300e-07;   234.000;   4.46070;  562.4705;  0.126000;      53.38676;      25.22494;  175.0000;   0.41540;    0.2350;    1.2390;    1.5000e-10;    0.0000;    0.0000e+00;     0.000;                              Nitrogen trifluoride
   82;            NITROGEN;  edbdc8e0;   28.0135;    63.151;   1.25198e-02;   126.192;   3.39580;  313.3000;  0.037200;      29.12527;       0.01354;  100.0165;   0.36502;    0.0000;    1.2415;    1.7000e-10;    0.0550;    4.0000e-10;   252.384;                                          Nitrogen
   83;              NONANE;  7f94dc20;  128.2551;   219.700;   4.44400e-07;   594.550;   2.28100;  232.1417;  0.443300;     210.41142;     314.39729;  472.1270;   0.66383;    0.0700;    1.2390;    1.9400e-10;    0.0496;    1.0431e-09;   891.825;                                            Nonane
   84;            NOVEC649;  a9e22c00;  316.0444;   165.000;   2.31500e-07;   441.810;   1.86900;  606.8052;  0.471000;     271.79689;     134.72856;  350.8000;   0.65090;    0.4300;    1.2390;    2.5100e-10;    0.0610;    3.3400e-10;   662.720;1,1,1,2,2,4,5,5,5-Nonafluoro-4-(trifluoromethyl)-3-pentanone
